FeatID,Average
1,16.41666667
2,26.5
3,12.25
4,12
5,11.41666667
6,42.08333333
7,40.58333333
8,57.625
9,14.83333333
10,36.91666667
11,10.91666667
12,18.16666667
13,14.5
14,43.83333333
15,13
16,19.83333333
17,14.91666667
18,37.08333333
19,12.91666667
20,65.58333333
21,12.125
22,23.83333333
23,7.916666667
24,12
25,9
26,8.25
27,13.58333333
28,10.16666667
29,10.125
30,11.16666667
31,27.5
32,13.41666667
33,9.583333333
34,19.25
35,20.83333333
36,20.08333333
37,15.375
38,16.625
39,40.91666667
40,41.41666667
41,14.91666667
42,14.75
43,42
44,14.66666667
45,13.91666667
46,13.33333333
47,15.66666667
48,9.166666667
49,13.375
50,38.125
51,17.75
52,14.25
53,13.41666667
54,14.5
55,10.125
56,13.16666667
57,73.91666667
58,10.41666667
59,28.58333333
60,5.75
61,11.25
62,10.83333333
63,13.91666667
64,10.25
65,13
66,17.25
67,20.41666667
68,15.16666667
69,19.33333333
70,27.75
71,14.58333333
72,10.5
73,9.25
74,10.5
75,11.58333333
76,32.91666667
77,5.166666667
78,58.5
79,8.583333333
80,16.375
81,14.25
82,10.125
83,9.625
84,13.125
85,17.83333333
86,9.75
87,45.58333333
88,7.166666667
89,11.66666667
90,8
91,47.25
92,12.25
93,11.625
94,14.66666667
95,12
96,60.91666667
97,11.58333333
98,11.83333333
99,28.66666667
100,15
101,12.875
102,10.25
103,16.08333333
104,12.83333333
105,41.08333333
106,21.58333333
107,16.75
108,78.83333333
109,15.25
110,12.625
111,10.33333333
112,14.75
113,26.41666667
114,21.41666667
115,28.08333333
116,14.25
117,11.58333333
118,43.5
119,10.41666667
120,8.833333333
121,16.5
122,60.83333333
123,44.75
124,11.625
125,17.91666667
126,10.83333333
127,11.5
128,14.91666667
129,9.25
130,9.625
131,12.75
132,20.66666667
133,19.75
134,9.25
135,24.91666667
136,13.83333333
137,22.58333333
138,22.83333333
139,18.08333333
140,12.375
141,28.41666667
142,11.91666667
143,7.625
144,14.5
145,39.75
146,12.91666667
147,17.91666667
148,11.58333333
149,17.5
150,8.25
151,14.41666667
152,12
153,17.83333333
154,8.75
155,11.25
156,47
157,13.66666667
158,9.833333333
159,10.375
160,11.5
161,20.41666667
162,31.16666667
163,26.41666667
164,18.58333333
165,17
166,14.16666667
167,32.41666667
168,13.91666667
169,16.33333333
170,28.41666667
171,8.666666667
172,19.25
173,9
174,19
175,16.91666667
176,16.5
177,8.833333333
178,20.08333333
179,16.91666667
180,13.08333333
181,10.83333333
182,22.83333333
183,9.083333333
184,11.16666667
185,10.125
186,26.16666667
187,11
188,10.58333333
189,11.91666667
190,12.25
191,17.75
192,14.125
193,58.5
194,11.91666667
195,6
196,39
197,10.875
198,12
199,35.41666667
200,9.166666667
201,17.16666667
202,14.08333333
203,12.08333333
204,34.75
205,79.83333333
206,17.25
207,13.83333333
208,8.5
209,15.83333333
210,4.25
211,13
212,12.25
213,18.41666667
214,10.25
215,16.625
216,10.875
217,9
218,21.875
219,6.375
220,47.08333333
221,9.916666667
222,43.83333333
223,13.16666667
224,16.125
225,10.58333333
226,14.83333333
227,13
228,12
229,11.125
230,12
231,14
232,20.83333333
233,22.91666667
234,11.91666667
235,16.66666667
236,11.58333333
237,16.66666667
238,9.583333333
239,33.75
240,8.25
241,10.41666667
242,24.16666667
243,9.916666667
244,13.58333333
245,5.833333333
246,29.16666667
247,19.33333333
248,12.25
249,32.5
250,11.5
251,34.91666667
252,19.875
253,18
254,11
255,12
256,12.66666667
257,43
258,16
259,13.33333333
260,11.58333333
261,19.66666667
262,18
263,9.666666667
264,9.25
265,12.625
266,35.41666667
267,13.33333333
268,13.5
269,14.58333333
270,36.41666667
271,34.75
272,10
273,14.25
274,25.33333333
275,18.08333333
276,69.41666667
277,11.25
278,17.83333333
279,6.5
280,9.916666667
281,7.916666667
282,14.5
283,13.875
284,16.91666667
285,7.75
286,14.375
287,12.41666667
288,6
289,15
290,6.75
291,18
292,12.58333333
293,30.5
294,18.41666667
295,13.83333333
296,23.5
297,22.08333333
298,35.91666667
299,34.83333333
300,19.25
301,42.33333333
302,14.75
303,12.33333333
304,16.5
305,55.08333333
306,10.25
307,13.91666667
308,8.166666667
309,22.66666667
310,16.58333333
311,17
312,10.125
313,32
314,12.25
315,37.41666667
316,7.666666667
317,11.58333333
318,12.375
319,26.58333333
320,14.5
321,20.5
322,20.25
323,17.75
324,15.58333333
325,37.66666667
326,14.875
327,14.91666667
328,23.5
329,13.25
330,32.41666667
331,17.16666667
332,20.75
333,12.83333333
334,24
335,16.75
336,50.75
337,12.41666667
338,18.25
339,9
340,11.25
341,13.33333333
342,13.16666667
343,36.25
344,7.375
345,14.75
346,63.66666667
347,12.25
348,9.5
349,8.75
351,13.41666667
352,11.16666667
353,13.5
354,21.33333333
355,12.25
356,9.875
357,17.16666667
358,11.5
359,50.08333333
360,10.625
361,11.91666667
362,10
363,17
364,18
365,13
