FeatID,class
1,3
3,0
5,0
6,4
8,4
9,2
10,2
11,0
12,1
13,1
14,3
17,3
18,1
19,0
20,4
21,0
22,0
24,1
25,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,3
40,3
41,1
42,1
43,3
44,1
45,1
46,1
48,0
49,0
50,4
51,0
52,0
53,2
54,1
55,0
56,1
57,3
58,0
59,4
60,0
61,1
62,0
63,2
64,2
65,3
66,2
67,1
68,0
69,2
70,1
71,1
72,1
73,0
74,0
75,0
76,3
77,0
78,0
79,0
80,1
81,3
82,1
83,0
84,1
85,1
86,0
87,3
88,0
89,0
90,0
91,4
93,0
94,1
95,1
96,4
97,1
98,1
99,2
100,1
101,0
102,0
103,1
104,1
105,2
107,1
108,4
109,1
110,0
111,0
112,3
113,2
114,2
115,2
116,1
117,2
118,3
119,0
120,0
121,0
122,4
123,4
124,1
125,3
126,0
127,2
128,2
129,0
130,0
132,3
133,3
134,0
136,1
137,1
138,2
139,2
140,0
141,2
142,1
143,1
144,1
145,1
146,2
147,2
148,1
149,3
150,0
151,2
152,1
153,2
154,0
155,0
156,3
157,1
158,1
159,1
160,0
161,3
162,2
163,1
164,2
166,1
167,1
168,1
169,1
170,2
171,0
172,2
173,0
174,2
175,1
176,1
177,0
178,3
179,2
180,1
181,1
182,3
183,1
184,0
185,1
186,2
187,0
188,1
189,1
190,1
191,2
192,2
193,3
194,0
195,0
196,3
197,1
198,0
199,3
200,0
201,2
202,1
203,1
204,3
205,2
206,3
208,0
209,2
210,0
211,2
212,2
213,2
214,0
215,1
216,0
218,4
219,1
220,2
221,1
222,4
223,0
224,0
225,1
226,1
227,2
228,1
229,0
230,2
231,0
232,2
233,4
234,0
235,2
236,1
237,3
238,0
239,4
240,0
241,0
242,3
243,0
244,1
245,0
246,3
247,1
248,1
249,4
250,1
251,2
252,1
253,0
254,2
255,1
256,0
257,4
258,3
259,2
260,1
261,1
262,3
263,0
264,1
265,1
266,3
267,0
268,1
269,0
270,4
271,1
272,0
273,0
274,4
275,1
276,4
277,1
278,1
279,0
280,1
281,1
282,3
283,1
284,3
285,0
286,3
287,2
288,1
289,1
290,1
291,3
292,0
293,2
294,3
295,0
296,3
297,2
298,4
299,3
300,3
301,4
302,0
303,1
304,2
305,3
306,0
307,0
308,0
309,2
311,2
312,0
313,4
314,1
315,2
316,0
317,0
318,2
319,3
320,1
321,1
322,1
323,0
324,2
325,3
326,2
327,1
328,1
329,0
