FeatID,LogM2M1 X Attachment
1292,0.046567768
989,0.059540139
674,0.357404491
740,0.06355644
1998,-0.011243485
896,0.209588504
799,0.006046749
1009,0.035485869
1955,0.047613189
2147,0.427849116
77,0.535655701
930,0.4957989
1825,0.426019644
489,0.182010883
705,0.400986937
1221,0.221868018
1624,0.435790798
1227,0.306749856
1426,0.451372287
655,0.869229481
60,0.924625864
1533,0.4395158
245,0.885970549
446,0.599592101
615,0.36498063
810,-0.287264833
1522,1.064740438
195,1.330748881
288,0.73401009
666,0.227445363
1171,0.47640266
1536,0.515473121
1127,1.009622073
1902,0.483075061
2175,0.757233655
672,0.311776046
1872,0.010445524
2073,0.287452716
514,0.679670586
219,0.520770651
279,0.692342453
1258,0.513814791
2006,1.549693332
2070,0.840778377
2027,-0.416249159
394,0.904571135
290,0.680610119
404,0.487039327
442,0.49840991
1355,0.916643158
1590,0.756453799
527,1.074114266
1356,1.100320875
1936,1.049101556
661,0.708974717
1043,0.086369745
518,0.660522143
1394,0.319964385
1595,0.629794699
421,0.052003359
469,0.640678277
752,-0.514040996
872,0.31759007
1094,0.739333683
1225,1.061053386
1405,0.693102596
1570,0.510437228
1990,0.01530604
1203,0.566431349
1436,0.629198495
474,0.20654523
945,0.042928388
2067,0.435833165
2168,0.350834503
88,1.081739709
597,0.542900866
599,0.678549877
671,0.413032427
782,0.695546924
809,0.325239951
1617,0.93459163
868,0.502149459
1528,0.882858537
344,0.162528691
901,-0.322771549
1044,0.719613755
2059,0.203696267
2069,0.450366424
617,0.448878576
731,0.958495983
1335,0.509215167
1379,0.486891448
571,0.784800468
1105,0.656943392
1125,0.787181703
1456,1.317720915
1523,0.401100823
1837,0.863700664
1863,0.238851628
1070,0.963679684
1358,1.487296897
1467,0.911865655
143,-0.139977809
938,0.135505571
1059,0.659326638
2081,1.109248859
316,0.602259322
466,0.407309927
504,0.887069395
793,0.649712125
1141,0.907608586
1716,0.808477043
285,0.966801768
775,0.775774078
1192,1.01832822
825,0.925542503
1305,0.456023871
1734,0.304443001
23,0.915361887
281,0.602560211
937,0.672624939
1496,0.669975961
90,1.341684543
587,0.929791354
1361,0.649468839
2075,1.074418197
419,0.878764653
906,0.910156994
525,1.242606625
978,0.897314407
1156,1.378161468
2071,0.229512438
308,0.777687005
453,0.679160307
26,1.106911677
150,0.729085114
240,0.541028316
940,-0.612734588
1259,1.038180357
2102,0.652402819
402,1.035710077
485,0.250304606
649,0.657416213
1080,0.005068235
1245,0.266533007
2140,1.24563736
385,0.653169912
503,0.822144695
925,1.231160824
1231,0.618784341
1756,1.363848422
208,1.487732768
430,1.124959524
754,1.462743537
1012,-0.416560067
1030,0.729116945
1096,1.244511853
1232,0.425641178
1641,0.773114683
1874,0.411215264
1999,1.30085754
2090,0.239665791
79,-0.015852774
1263,1.031432311
1555,1.027512578
1609,0.44967128
452,0.225590933
491,0.109352696
683,1.202777881
684,0.080757657
1398,0.164342987
171,0.873983086
471,0.323966361
561,0.91119789
1965,1.034908509
2135,1.565698827
154,0.788696156
349,1.150397127
369,0.475479298
526,0.331382014
968,-0.09882894
969,0.526630963
1222,1.163720008
1367,0.119407741
1971,0.618916144
120,0.784816972
177,1.043736976
567,0.612741102
910,0.547233936
1187,1.080531598
1534,0.707450811
536,1.252056252
890,0.880465976
1202,0.201988255
1871,0.354202927
2037,1.091117795
996,0.846430587
1798,0.600090864
2002,1.01221916
25,1.149507732
173,1.034643239
339,1.000558727
447,0.579133505
934,1.110801856
1461,0.779764196
1992,0.455352299
183,0.5548706
700,0.776235467
714,1.022376749
1172,1.624090634
1200,1.586383386
1565,0.237223461
688,1.172886232
1242,0.70098613
48,0.723259763
200,1.140445352
751,1.422371322
2009,0.705054038
73,1.047433143
129,0.888456801
134,1.113090717
264,0.95531223
623,1.082559139
635,1.030420023
808,0.664998151
975,1.391419932
1112,1.489893049
1269,0.776495978
1446,0.517470715
2122,0.326578443
2126,1.212642051
372,0.774875845
600,0.786451828
657,1.143816047
847,0.980757547
859,0.984567723
876,0.804296084
1033,1.898936819
1396,0.87371734
1504,0.671452743
753,0.871990968
764,1.691249312
774,0.105023869
1777,1.36467126
1176,1.017316117
1235,0.726903928
1519,1.402464442
1765,0.665610508
1802,1.15625736
348,0.615777933
524,1.509163868
554,1.229139189
632,0.823082194
701,0.681565871
717,1.142709514
1060,1.220845974
1238,0.476255184
1697,1.392814274
2021,0.496805091
2139,1.618663024
2146,0.522433945
33,0.898202878
238,0.773313297
496,1.02487562
534,1.314543677
590,0.854930294
1443,0.772534257
1918,1.061734127
83,0.762962345
130,0.376275031
409,0.74544852
995,0.920815836
1155,1.886680864
1529,0.653055112
1820,0.870985994
2145,0.305722789
263,1.264743619
380,0.834506286
460,1.410812564
531,0.861806056
784,1.016752065
1093,0.962608242
1162,1.410749868
1216,0.897537966
1363,1.062163063
1968,1.041551332
86,1.475271771
373,0.586783771
477,0.950482907
715,0.607945985
